SERIAL,PERSON NUMBERS,PERSON 1 DESCRIPTION,RELATIONSHIP DESCRIPTION,HOUSEHOLD DESCRIPTION,OTHER PERSON DESCRIPTIONS,group_id,day_index,hour_index,_household_size,_segment,_serial_num,_reused,status,posted_at,error,uri,cid,thread_post_count
1531599,1,I am a 37-year-old woman. I was born in Wyoming. My ancestry is english. I am a office clerk. I made $25k last year. I drive to work. I leave for work at around 7:32 am. It takes me about 10 minutes to get to work.,I live alone.,I live in Wyoming. I live in a 2-family home built in the 1950s with 1 bedrooms. I rent.,,1,1,10,1,size_1,1531599,0,posted,2026-04-07T11:48:26+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mivpibcmbb2c,bafyreibjmg54sepa4mjnrf26hoxz4vflej2rptkqaneqqtai45br6ien2a,4.0
3804,"1,2,3,4,5,6,7","I am a 36-year-old man. I got married last year. I have been married more than once. I have trouble with my hearing. I am a veteran. I was born in Georgia. I am a welding, soldering, and brazing worker. I made $115.6k last year. I drive to work. I leave for work at around 1:05 pm. It takes me about 15 minutes to get to work.",I live with my wife and 3 stepsons and 2 stepdaughters.,We live in Alabama. We live in a house built in the 2000s with 4 bedrooms. We used a mortgage to buy our home. Our annual property taxes are $ 600 - 649.,My wife is 34 years old. She was born in Alabama. She is a licensed vocational nurse. She made $80k last year. She leaves for work at around 7:32 am. It takes her about 20 minutes to get to work. My 1st stepdaughter is 15 years old. She was born in Alabama. She did not have personal income last year. My 1st stepson is 14 years old. He was born in Alabama. My 2nd stepson is 10 years old. He was born in Alabama. My 2nd stepdaughter is 10 years old. She was born in Alabama. My 3rd stepson is 7 years old. He was born in Alabama.,1,1,11,7,size_5_7,3804,0,posted,2026-04-07T12:49:42+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mivsvsyp2b2u,bafyreie2g3wcrfqwhgwsxavfrkn27fdeuqgq5oz3kwbr2hpsyct7dofkxe,7.0
3801,"1,2","I am a 67-year-old woman. I was born in Washington. My ancestry is mixed. I am not in the work force anymore, my income was $19.7k last year. I studied nursing in college.",I live with my husband.,We live in Alabama. We live in a house built before 1939 with 4 bedrooms. We own our home. Our annual property taxes are $ 900 - 949.,"My husband is 74 years old. He was born in Illinois. His ancestry is mixed. He worked as a postsecondary teacher. He is not in the work force anymore, he had a income of $114.3k last year. He studied linguistics and comparative language and literature.",1,1,12,2,size_2,3801,0,posted,2026-04-07T13:35:28+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mivvhop32o2e,bafyreieiqlpfv2qy55eqmi5kzj5sl6buageicpmigj423iekdhqncjhvam,3.0
1531606,"1,2,3",I am a 64-year-old man. I was widowed. I have been married more than twice. I was born in Washington. I am a electrician. I made $131k last year.,I live with my grandson and my female partner.,"We live in Wyoming. We live in a house built in the 1970s with 4 bedrooms. We own our home. Our annual property taxes are $ 2,000 - 2,099.",My female partner is 62 years old. She was naturalized as a citizen in 1987. She was born in mexico. She is a food preparation worker. She made $26k last year. She leaves for work at around 3:05 pm. It takes her about 4 minutes to get to work. He was born in Wyoming.,1,1,13,3,size_3_4,1531606,0,posted,2026-04-07T14:09:21+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mivxeay3us2e,bafyreiatkzhpfz5qns5m2bd6tv4x56b7mb72w3qoyhtys23r7s6eiuvcsa,3.0
1531614,"1,2",I am a 20-year-old woman. I was born in Missouri. My ancestry is french. I am a food service manager. I made $38.5k last year. I drive to work. I leave for work at around 4:45 am. It takes me about 15 minutes to get to work.,I live with my male partner.,We live in Wyoming. We live in a 2-family home built in the 2000s with 1 bedrooms. We rent.,My male partner is 22 years old. He was born in Wyoming. His ancestry is hispanic. He works as a chef and head cook. He made $20k last year. He leaves for work at around 8:47 am. It takes him about 10 minutes to get to work.,1,1,14,2,size_2,1531614,0,posted,2026-04-07T14:49:29+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mivzlzot6h2h,bafyreihdbwr3rqoed7jstawwy7l5kxyjvfcwylwfcienzeoptquvu3yckq,3.0
3807,"1,2,3",I am a 37-year-old woman. I was born in Tennessee. My ancestry is portuguese. I am a postsecondary teacher. I made $15k last year. I studied biology in college. I drive to work. I leave for work at around 8:32 am. It takes me about 20 minutes to get to work.,I live with my husband and my son.,We live in Alabama. We live in a 3-4 family home built in the 1980s with 3 bedrooms. We rent.,My husband is 41 years old. He was born in Alabama. He works as a postal service mail carrier. He made $73k last year. He leaves for work at around 7:32 am. It takes him about 60 minutes to get to work. My son is 4 years old. He was born in Alabama. His ancestry is portuguese.,1,1,15,3,size_3_4,3807,0,posted,2026-04-07T15:23:17+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miw3ihkkmy2k,bafyreiddabl2jkynun6l3iroghh3qz7mwplr4s7fgymuwwkmtwak22grdq,3.0
3802,"1,2","I am a 75-year-old woman. I was born in Alabama. I am not in the work force anymore, my income was $11.2k last year.",I live with my husband.,"We live in the montgomery, Alabama area. We live in a house built in the 1960s with 2 bedrooms. We own our home. Our annual property taxes are $ 700 - 749.","My husband is 72 years old. He is a veteran. He was born in Alabama. He is not in the work force anymore, he had a income of $22.1k last year.",1,1,16,2,size_2,3802,0,posted,2026-04-07T15:59:42+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miw5jkvenp2y,bafyreih6qmbbm3zxggelrg4wf4zyehqyk5b54kjz3rwo6pxefyu3ai732q,2.0
1531608,"1,2,3",I am a 36-year-old woman. I moved within state. I was born in Wyoming. I am a advertising and promotions manager. I made $43.6k last year. I work from home.,I live with my son and my daughter.,We live in Wyoming. We live in a 2-family home built in the 2000s with 3 bedrooms. We rent.,My son is 15 years old. He was born in Wyoming. He did not have personal income last year. My daughter is 10 years old. She was born in Wyoming.,1,1,17,3,size_3_4,1531608,0,posted,2026-04-07T16:32:15+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miw7dryob42b,bafyreic7ar7lbsybu55k7omxfg4l5bsoykbupcqxwkqiivh3e3zbjlmwla,2.0
1531613,"1,2","I am a 78-year-old man. I am a veteran. I was born in Michigan. My ancestry is german. I am not in the work force anymore, my income was $57.3k last year.",I live with my wife.,"We live in Wyoming. We live in a house built in the 2000s with 3 bedrooms. We used a mortgage to buy our home. Our annual property taxes are $ 1,600 - 1,699.","My wife is 74 years old. She was born in Minnesota. Her ancestry is german. She is not in the work force anymore, she had a income of $16.5k last year.",1,1,18,2,size_2,1531613,0,posted,2026-04-07T17:04:30+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miwb5gy3p22j,bafyreie3gegwusuuti7s7i54kegrpuyf7cqdsfyiiov66h75urq5xpffia,2.0
3803,"1,2,3",I am a 64-year-old man. I was born in Alabama. My ancestry is scotch irish. I am a computer programmer. I made $178k last year. I studied criminal justice and fire protection in college. I drive to work. I leave for work at around 7:02 am. It takes me about 30 minutes to get to work.,I live with my wife and my son.,"We live in the birmingham, Alabama area. We live in a house built in the 1970s with 3 bedrooms. We used a mortgage to buy our home. Our annual property taxes are $ 1,000 - 1,099; we also have a 2nd mortgage.",My wife is 62 years old. She was born in Alabama. Her ancestry is scotch irish. She did not have personal income last year. My son is 34 years old. He was born in Alabama. His ancestry is scotch irish. He works as a small engine mechanic. He made $29.1k last year. He leaves for work at around 2:35 pm. It takes him about 20 minutes to get to work.,1,1,19,3,size_3_4,3803,0,posted,2026-04-07T17:34:32+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miwct5qjmy2r,bafyreibx2dqbrctrbckvjgbo65kzfdmvppjpzu2v6k3bh555scnta442jq,4.0
